1,0,2,7,4,5
3,8,9,11,13,10
15,12,17,6,16,14
18,19,20,21,23,24
22,25,27,29,28,26
32,30,33,31,34,37
38,35,36,39,40,41
45,47,43,42,46,44
48,55,57,49,54,56
51,58,52,50,59,53
60,61,62,63,64,65
68,66,71,67,69,70
72,74,75,76,73,81
78,77,79,82,80,85
83,84,86,88,89,87
90,93,91,92,98,95
97,94,1,96,0,3
2,4,6,5,7,9
10,12,11,16,8,15
13,14,19,18,17,20
21,22,25,23,29,24
28,26,27,31,32,33
35,30,34,38,37,36
39,40,42,41,44,46
45,43,49,50,47,52
48,56,51,54,62,53
57,55,58,61,59,60
63,65,68,67,64,66
72,70,71,73,74,75
76,79,69,78,77,81
80,82,84,83,85,87
86,88,89,91,90,92
97,95,98,3,93,94
96,1,4,5,0,8
7,2,12,6,13,9
14,11,10,16,15,17
18,19,20,22,23,21
27,24,28,31,26,25
29,30,32,34,37,33
36,39,35,38,43,41
40,45,42,46,47,44
48,53,49,51,52,50
54,56,55,57,58,60
62,66,59,61,63,67
70,69,65,71,72,75
64,73,74,68,76,77
79,78,82,80,83,81
84,85,86,89,87,90
88,93,91,94,96,92
95,97,2,1,98,0
7,4,3,6,5,9
8,12,18,13,10,11
15,16,17,14,19,23
20,21,22,28,24,26
25,27,29,30,31,33
34,36,32,38,35,37
39,41,40,43,44,42
45,46,48,47,50,49
55,52,51,53,56,57
54,60,58,59,61,62
65,67,69,66,63,71
68,73,64,76,70,72
77,74,78,75,80,79
84,83,85,81,82,86
87,88,89,90,92,91
96,93,94,97,98,2
95,1,0,3,4,6
5,7,11,8,16,9
13,10,14,17,15,18
19,20,12,23,24,21
22,25,28,26,27,29
32,34,30,33,37,31
35,38,36,39,43,41
40,42,45,46,47,48
44,51,49,50,52,53
55,56,54,57,59,58
60,62,64,61,63,65
66,68,69,67,71,70
74,72,76,73,75,77
78,80,85,79,82,86
81,83,84,87,91,88
89,90,93,0,97,8
92,1,95,96,2,5
94,98,3,6,9,4
7,10,11,12,13,14
15,16,18,19,20,22
17,21,23,24,25,26
27,28,29,30,31,32
35,34,36,40,33,42
37,39,41,43,38,45
46,47,48,50,44,49
51,55,58,52,53,56
54,59,60,57,63,62
67,61,66,64,68,69
65,72,70,71,73,74
77,78,79,76,80,75
82,81,83,85,84,88
91,87,86,94,89,93
90,95,98,92,97,2
96,0,1,3,4,5
6,8,7,12,10,9
11,16,13,17,18,19
14,21,22,20,26,15
23,24,27,25,28,31
29,30,34,32,33,35
36,37,38,40,39,43
41,44,45,46,48,42
47,50,52,49,53,57
54,56,59,58,51,60
61,62,55,64,63,65
67,66,68,70,72,69
74,71,73,76,75,77
83,78,79,81,82,80
85,87,84,89,92,88
94,90,86,96,91,93
0,95,97,98,2,6
1,4,3,7,9,10
5,8,12,14,15,11
13,16,17,18,19,20
21,22,23,26,28,25
27,24,29,30,31,32
35,34,33,36,37,38
45,40,42,39,41,46
43,44,50,51,48,47
52,53,49,56,54,57
55,58,59,62,60,61
63,69,64,66,65,67
70,68,72,73,75,74
71,77,76,82,78,79
80,81,83,85,84,87
88,90,92,86,91,94
2,89,93,95,1,96
3,4,98,97,5,6
0,7,8,10,11,9
12,13,14,15,18,17
16,19,25,22,21,24
20,23,26,30,27,28
29,33,31,32,37,34
35,39,40,38,36,43
41,46,45,44,42,47
48,49,51,50,53,57
55,58,52,54,56,62
61,59,60,63,65,66
64,68,69,67,75,76
74,71,70,72,73,77
80,81,78,79,83,86
82,84,85,87,90,89
88,91,94,93,95,92
96,97,98,0,2,3
4,1,5,10,7,8
9,6,13,12,14,11
15,16,17,21,19,18
20,22,23,24,26,29
28,32,25,27,35,30
37,33,31,34,36,38
39,41,40,43,42,48
44,45,49,51,46,47
52,53,54,50,56,55
57,59,60,58,64,62
61,63,65,66,70,67
68,69,71,72,73,75
74,78,79,77,80,83
81,76,87,85,84,88
90,82,92,86,89,3
91,93,94,0,96,95
1,97,98,2,4,5
10,6,8,7,9,13
11,12,14,19,18,15
1008
